Título del evento: El fantasma al que le asustaban los libros con Nelson Calderón, Inicio: 2017-11-24 18:00:00.0, Finalización: 2017-11-24 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3833bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El fantasma al que le asustaban los libros con Nelson Calderón, Inicio: 2017-10-19 18:00:00.0, Finalización: 2017-10-19 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a36721dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El fantasma al que le asustaban los libros con Nelson Calderón, Inicio: 2017-10-20 18:00:00.0, Finalización: 2017-10-20 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=44aa21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El fantasma al que le asustaban los libros con Nelson Calderón, Inicio: 2017-12-01 18:00:00.0, Finalización: 2017-12-01 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=afa098df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: El fantasma al que le asustaban los libros con Nelson Calderón, Inicio: 2017-11-07 18:00:00.0, Finalización: 2017-11-07 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0236bc1fc431e510VgnVCM1000001d4a900aRCRD
Título del evento: El fantasma que asustaba a los cuentos con Nelson Calderón, Inicio: 2017-10-21 12:00:00.0, Finalización: 2017-10-21 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=da10ab562631e510VgnVCM2000001f4a900aRCRD
Título del evento: El león Kandina con Boniface ofogo, Inicio: 2017-12-14 18:00:00.0, Finalización: 2017-12-14 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=da84c686ebe0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface, Inicio: 2017-11-03 18:00:00.0, Finalización: 2017-11-03 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=142098df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface, Inicio: 2017-11-02 18:00:00.0, Finalización: 2017-11-02 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a2e821dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: El león Kandinga con Boniface, Inicio: 2017-11-16 18:00:00.0, Finalización: 2017-11-16 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d7ce98df8ed0e510VgnVCM1000001d4a900aRCRD
